ward_id,small_area,weight
10104001,1630121,1.0
10104001,1630134,1.0
10104001,1630141,0.807988172064
10104001,1630156,1.0
10104001,1630158,1.0
10104001,1630087,0.0519876520822
10104002,1630127,0.20393752855
10104002,1630013,0.217658663456
10104002,1630094,0.0487511298259
10104002,1630057,0.0203896600847
10104002,1630052,0.0559965203811
10104002,1630010,0.143548337049
10104002,1630037,0.128919755656
10104002,1630039,1.0
10104002,1630061,1.0
10104002,1630116,1.0
10104002,1630107,1.0
10104002,1630124,1.0
10104002,1630050,1.0
10104002,1630090,1.0
10104002,1630042,0.0128525240537
10104002,1630109,1.0
10104002,1630016,1.0
10104002,1630062,0.973722590231
10104002,1630138,1.0
10104002,1630081,1.0
10104002,1630142,1.0
10104002,1630112,1.0
10104002,1630161,1.0
10104002,1630115,1.0
10104002,1630154,1.0
