precinct,population
KAGISHO,45725.155848896546
TABLE VIEW,73604.21380901107
LAINGSBURG,8090.0563966326
TSINENG,22075.28475221352
MAHAMBA,8874.079332193309
CULLINAN,42448.613230026
KWANONQABA,33736.220209522486
MOTHERWELL,97614.31721007683
DESPATCH,32439.745208295444
TZANEEN,68828.52705396077
LEVUBU,53640.911803523966
SEKGOSESE,46031.134041888894
NOENIEPUT,779.2484093075906
GROOT-DRAKENSTEIN,17217.79957011759
CHRISTIANA,24036.65778176532
KROONSTAD,29209.26088608716
SANDTON,106483.81914259562
MPOPHOMENI,28963.897292945778
SEVEN FOUNTAINS,3330.7634947999645
UTRECHT,22741.464112651945
BHEKITHEMBA,136659.21240329865
CLOCOLAN,20218.231446872593
MCGREGOR,5786.165708616002
RANKIN'S PASS,2680.441166306131
RIETFONTEIN,5305.114274067736
DORSET,2380.108388363932
PIKETBERG,23735.130746808343
BETHAL,17019.915982837072
TWEEFONTEIN,61484.507202641515
BRITSTOWN,6224.008491470203
THEUNISSEN,30360.130833708543
TWEESPRUIT,8183.277581573946
ODENDAALSRUS,67512.17711148833
DENNILTON,102247.51290444323
BOITHUSO,99829.89057908216
ROSSOUW,736.7383233229781
WESTVILLE,31136.626064244778
MALAMULELE,134305.38363680255
KWAZAKELE,107458.20626265643
NONDWENI,17387.60579652374
KURUMAN,17350.861778475904
TSAKANE,210374.82868564862
MBEKWENI,40202.19396729517
PIET RETIEF,100638.34617297926
LEHURUTSHE,62102.83501898739
BELLVILLE,65990.48257176884
ISIPINGO,46526.22424482926
HAENERTSBURG,4956.632152933374
ACTONVILLE,52830.84825827189
THEMBALETHU,43892.36141481833
TSHIDILAMOLOMO,14065.747792355724
INANDA,325564.5137999381
MADIBOGO,35828.10118509802
MARBLE HALL,76218.60745353009
CORNELIA,5259.7760430709095
KWANDENGEZI,67527.17986124005
SEAFIELD,1538.7914138781102
GUGULETHU,124020.13180233979
SEBAYENG,44732.32104547396
LANSDOWNE,48486.70819018943
SUURBRAAK,2945.150987733205
KOFFIEFONTEIN,11825.067009609042
MELKBOSSTRAND,12383.343232302112
NKANDLA,64344.40981252311
KLIPGAT,77705.59664956291
MALIPSDRIFT,20283.574654819287
ALEXANDER BAY,4863.872253201695
OHRIGSTAD,2865.1865680642354
ALIWAL NORTH,18525.52779182808
NGOME,16315.796788014346
NDWEDWE,112986.3156665541
